length,isIp,countAt,countDoubleSlash,countHyphen,countDots,countDelimeters,countSubDirectory,countQueries,alexaGlobalRank,domainRegistrationLength,label
39,0,0,1,0,2,0,2,1,-1,-1,1
31,0,0,1,0,2,0,2,1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,0,1
37,0,0,1,0,2,0,2,1,-1,-1,1
33,0,0,1,0,2,0,2,1,-1,-1,1
27,0,0,1,0,2,0,2,1,-1,-1,1
28,0,0,1,0,2,0,2,1,-1,-1,1
28,0,0,1,0,2,0,2,1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,1
27,0,0,1,0,2,0,2,1,-1,-1,1
35,0,0,1,0,2,0,2,1,-1,-1,1
35,0,0,1,0,2,0,2,1,-1,0,1
26,0,0,1,0,2,0,2,1,-1,-1,1
26,0,0,1,0,2,0,2,1,-1,-1,1
30,0,0,1,0,2,0,2,1,-1,-1,1
30,0,0,1,0,2,0,2,1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,1
31,0,0,1,0,2,0,2,1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,1
31,0,0,1,0,2,0,3,1,-1,-1,1
55,0,0,1,2,3,0,4,1,-1,-1,1
55,0,0,1,6,2,0,5,1,-1,-1,1
58,0,0,1,0,2,0,5,1,-1,-1,1
53,0,0,1,1,2,0,7,1,-1,-1,1
59,0,0,1,1,3,0,7,1,-1,-1,1
29,0,0,1,0,1,0,4,1,-1,0,1
41,0,0,1,0,2,0,4,1,-1,-1,1
55,0,0,1,0,1,0,5,1,-1,-1,1
43,0,0,1,0,3,0,3,1,-1,5,1
123,0,0,1,0,3,14,3,4,-1,5,1
59,0,0,1,0,1,0,7,1,-1,-1,1
96,0,0,1,1,3,6,7,2,-1,-1,1
76,0,0,1,0,3,1,7,1,-1,-1,1
56,0,0,1,0,2,0,5,1,-1,-1,1
69,0,0,1,1,4,0,8,1,-1,-1,1
69,0,0,1,1,4,0,8,1,-1,-1,1
70,0,0,1,1,4,0,8,1,-1,-1,1
95,0,0,1,1,7,0,8,1,-1,10,1
94,0,0,1,1,7,0,8,1,-1,10,1
94,0,0,1,1,7,0,8,1,-1,10,1
61,0,0,1,0,2,0,5,1,-1,-1,1
77,0,0,1,1,2,0,9,1,-1,-1,1
95,0,0,1,1,3,0,9,1,-1,-1,1
103,0,0,1,1,3,1,9,1,-1,-1,1
47,0,0,1,0,2,0,6,1,-1,-1,1
41,0,0,1,0,2,0,5,1,-1,-1,1
50,0,0,1,0,2,0,5,1,-1,-1,1
60,0,0,1,1,3,0,7,1,-1,-1,1
113,0,0,1,0,5,6,8,2,-1,-1,1
280,0,1,1,1,6,3,5,2,-1,-1,1
22,0,0,1,0,2,0,2,1,1.0,22,0
23,0,0,1,0,2,0,2,1,0.5,13,0
24,0,0,1,0,2,0,2,1,0.3333333333333333,31,0
21,0,0,1,0,2,0,2,1,0.25,27,0
25,0,0,1,0,2,0,2,1,0.2,21,0
18,0,0,1,0,2,0,2,1,0.16666666666666666,32,0
22,0,0,1,0,2,0,2,1,0.14285714285714285,18,0
22,0,0,1,0,2,0,2,1,-1,-1,0
21,0,0,1,0,2,0,2,1,0.125,28,0
21,0,0,1,0,2,0,2,1,0.1111111111111111,23,0
23,0,0,1,0,2,0,2,1,0.09090909090909091,20,0
20,0,0,1,0,2,0,2,1,0.08333333333333333,20,0
22,0,0,1,0,2,0,2,1,0.058823529411764705,15,0
20,0,0,1,0,2,0,2,1,0.07142857142857142,24,0
18,0,0,1,0,2,0,2,1,0.05,21,0
18,0,0,1,0,2,0,2,1,0.06666666666666667,31,0
25,0,0,1,0,2,0,2,1,0.0625,22,0
21,0,0,1,0,2,0,2,1,0.05555555555555555,27,0
23,0,0,1,0,3,0,2,1,0.05263157894736842,21,0
21,0,0,1,0,2,0,2,1,0.045454545454545456,22,0
23,0,0,1,0,2,0,2,1,0.043478260869565216,23,0
23,0,0,1,0,2,0,2,1,0.038461538461538464,21,0
24,0,0,1,0,3,0,2,1,0.07692307692307693,16,0
24,0,0,1,0,2,0,2,1,0.041666666666666664,18,0
25,0,0,1,0,3,0,2,1,0.037037037037037035,-1,0
23,0,0,1,0,2,0,2,1,0.034482758620689655,20,0
21,0,0,1,0,2,0,2,1,0.03333333333333333,11,0
23,0,0,1,0,3,0,2,1,0.03225806451612903,-1,0
24,0,0,1,0,2,0,2,1,0.03571428571428571,18,0
