length,isIp,countAt,countDoubleSlash,countHyphen,countDots,countDelimeters,countSubDirectory,countQueries,domainRegistrationLength,alexaGlobalRank,bounceRate,dailyPageViewsPerVisitor,dailyTimeOnSite,searchVisits,totalSitesLinkingIn,label
39,0,0,1,0,2,0,2,1,0,-1,-1,-1,-1,-1,-1,1
31,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
34,0,0,1,0,2,0,2,1,0,-1,-1,-1,-1,-1,-1,1
37,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
33,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
27,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
28,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
28,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
27,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
35,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
35,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
26,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
26,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
30,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
30,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
31,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
34,0,0,1,0,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,1
31,0,0,1,0,2,0,3,1,-1,-1,-1,-1,-1,-1,-1,1
55,0,0,1,2,3,0,4,1,-1,-1,-1,-1,-1,-1,-1,1
55,0,0,1,6,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
58,0,0,1,0,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
53,0,0,1,1,2,0,7,1,-1,-1,-1,-1,-1,-1,-1,1
59,0,0,1,1,3,0,7,1,-1,-1,-1,-1,-1,-1,-1,1
29,0,0,1,0,1,0,4,1,0,-1,-1,-1,-1,-1,-1,1
41,0,0,1,0,2,0,4,1,-1,-1,-1,-1,-1,-1,-1,1
55,0,0,1,0,1,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
43,0,0,1,0,3,0,3,1,5,-1,-1,-1,-1,-1,-1,1
123,0,0,1,0,3,14,3,4,5,-1,-1,-1,-1,-1,-1,1
59,0,0,1,0,1,0,7,1,-1,-1,-1,-1,-1,-1,-1,1
96,0,0,1,1,3,6,7,2,-1,-1,-1,-1,-1,-1,-1,1
76,0,0,1,0,3,1,7,1,-1,-1,-1,-1,-1,-1,-1,1
56,0,0,1,0,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
69,0,0,1,1,4,0,8,1,-1,-1,-1,-1,-1,-1,-1,1
69,0,0,1,1,4,0,8,1,-1,-1,-1,-1,-1,-1,-1,1
70,0,0,1,1,4,0,8,1,-1,-1,-1,-1,-1,-1,-1,1
95,0,0,1,1,7,0,8,1,10,-1,-1,-1,-1,-1,-1,1
94,0,0,1,1,7,0,8,1,10,-1,-1,-1,-1,-1,-1,1
94,0,0,1,1,7,0,8,1,10,-1,-1,-1,-1,-1,-1,1
61,0,0,1,0,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
77,0,0,1,1,2,0,9,1,-1,-1,-1,-1,-1,-1,-1,1
95,0,0,1,1,3,0,9,1,-1,-1,-1,-1,-1,-1,-1,1
103,0,0,1,1,3,1,9,1,-1,-1,-1,-1,-1,-1,-1,1
47,0,0,1,0,2,0,6,1,-1,-1,-1,-1,-1,-1,-1,1
41,0,0,1,0,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
50,0,0,1,0,2,0,5,1,-1,-1,-1,-1,-1,-1,-1,1
60,0,0,1,1,3,0,7,1,-1,-1,-1,-1,-1,-1,-1,1
